present_only_in,event_idx,contingency,row_count,gpu_converged,gpu_status_code,cpu_converged,cpu_status_code
gpu,454,BR_11333_11388_1,2121,True,OK,True,OK
gpu,455,BR_11333_11413_1,2121,True,OK,True,OK
gpu,458,BR_11338_11343_1,2121,True,OK,True,OK
gpu,459,BR_33092_11342_1,2121,True,OK,True,OK
gpu,461,BR_11344_11350_1,2121,True,OK,True,OK
gpu,462,BR_11349_11398_1,2121,True,OK,True,OK
gpu,463,BR_11349_11420_1,2121,True,OK,True,OK
gpu,464,BR_11349_11420_2,2121,True,OK,True,OK
gpu,466,BR_11351_11359_1,2121,True,OK,True,OK
gpu,467,BR_11351_11360_1,2121,True,OK,True,OK
gpu,469,BR_11364_11404_1,2121,True,OK,True,OK
gpu,471,BR_11370_11376_1,2121,True,OK,True,OK
gpu,473,BR_11463_11371_1,2121,True,OK,True,OK
gpu,474,BR_11465_11377_1,2121,True,OK,True,OK
gpu,477,BR_11378_11384_1,2121,True,OK,True,OK
gpu,478,BR_11378_11385_1,2121,True,OK,True,OK
gpu,479,BR_11379_11463_1,2121,True,OK,True,OK
gpu,480,BR_11383_11426_1,2121,True,OK,True,OK
gpu,481,BR_11465_11383_1,2121,True,OK,True,OK
gpu,482,BR_33378_11383_1,2121,True,OK,True,OK
gpu,484,BR_11387_11395_1,2121,True,OK,True,OK
gpu,485,BR_11388_11396_1,2121,True,OK,True,OK
gpu,487,BR_33492_11394_1,2121,True,OK,True,OK
gpu,488,BR_11395_33083_1,2121,True,OK,True,OK
gpu,489,BR_11396_33042_1,2121,True,OK,True,OK
gpu,491,BR_11397_11399_1,2121,True,OK,True,OK
gpu,492,BR_11398_11420_1,2121,True,OK,True,OK
gpu,493,BR_11398_11420_2,2121,True,OK,True,OK
gpu,494,BR_11398_11420_3,2121,True,OK,True,OK
